"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""E001""	""E002""	""E003_01""	""E004""	""E004_02""	""E004_03""	""E004_04""	""E004_05""	""E004_16""	""E004_06""	""E004_07""	""E004_08""	""E004_09""	""E004_10""	""E004_12""	""E004_13""	""E004_14""	""E004_15""	""E004_15a""	""E005""	""E006""	""J001_01""	""J001_02""	""J003""	""J004""	""J005""	""J006""	""J007""	""J008""	""P001_01""	""P002""	""P005""	""P003""	""P004_01""	""P004_02""	""PP01""	""PP02_01""	""PP02_02""	""ZG01_CP""	""ZG01""	""P101_01""	""P101_02""	""P102""	""P103_01""	""P104""	""P105_01""	""P106_01""	""P106_02""	""P106_03""	""P106_04""	""SD01""	""SD02""	""SD04""	""SD04_01""	""SD04_02""	""SD04_03""	""SD04_04""	""SD04_05""	""SD04_06""	""SD04_07""	""SD04_08""	""SD04_09""	""SD04_10""	""SD04_11""	""SD04_11a""	""SD06""	""SD07""	""SD08""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""DEG_MISS""	""DEG_TIME""	""DEGRADE"""
"498			""base""	""interview""	2016-05-30 18:54:18	1	1	""3""	2	F	F	F	F	F	T	F	F	T	F	F	F	F	F		1	3	4	4	2			5	2		5	3	2	4			4			17	1	4	2	4		4		4	4	4	4	1	6	2	T	F	F	F	F	F	T	F	F	F	F		10	2	1	T	F	21	21	21	1	2	59	61"
"499			""base""	""interview""	2016-05-30 18:54:24	1	X-9		2	F	F	F	F	F	T	T	F	F	F	F	F	F	F		1	1	3	5	X-9	X-9	3	5	2		3	2	1	4			4			18	1	5	2	4		4		5	5	5	5	X-9	4	2	F	F	F	T	F	T	F	F	F	F	F		X-9	X-9	2	T	F	21	21	36	18	237	7	245"
"510			""base""	""interview""	2016-05-30 19:58:01	2	1																												10	2	1	2	15		4			18	2	4	2	4		4		3	5	2	5	1	5	1	F	F	F	F	T	F	F	F	F	F	F		X-9	X-9	3	T	F	21	21	31	8	100	10	110"
"523			""base""	""interview""	2016-05-30 21:27:06	1	1	""4""	1	F	F	T	F	F	F	F	F	F	F	F	F	F	F		1	1	4	4	2			3	2		10	2	1	4			4			19	1	2	2	4		4		2	2	2	4	1	6	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	24	3	26	10	36"
"525			""base""	""interview""	2016-05-30 21:29:24	1	1	""3""	3	F	T	F	F	F	T	T	F	F	F	F	F	F	F		1	1	3	2	2			5	2		1	1	1	4			4			21	1	2	3	4		4		4	2	3	3	1	3	1	F	T	F	F	F	F	F	F	F	F	F		7	1	6	T	F	21	21	21	1	2	4	6"
"526			""base""	""interview""	2016-05-30 21:30:15	1	1	""4""	4	F	F	T	F	F	T	T	T	F	F	F	F	F	F		2	1	3	4	2			4	2		5	2	1	4			3		""3""	20	1	1	4	4		4		2	3	2	5	1	6	1	T	F	F	F	F	F	F	F	F	F	F		4	1	2	T	F	21	21	18	1	0	20	20"
"534			""base""	""interview""	2016-05-30 22:05:44	1	1	""4""	3	F	T	F	F	F	T	F	F	F	F	F	F	T	F		1	3	4	4	1	1	X-9		1	1	25	2	1	4			4			21	2	2	2	4		4		4	4	4	4	2	6	1	F	F	F	F	F	F	F	F	T	F	F		1	X-9	5	T	F	21	21	25	5	58	27	86"
"535			""base""	""interview""	2016-05-30 22:06:52	1	1	""4""	6	F	F	T	T	T	T	F	F	T	F	F	F	T	F		1	3	3	4	2			3	2		5	2	2	4			4			22	2	1	5	4		4		1	1	1	5	1	6	1	T	F	F	F	F	F	F	F	F	F	F		10	2	2	T	F	21	21	21	1	2	0	2"
"536			""base""	""interview""	2016-05-30 22:08:15	1	1	""2""	2	F	T	F	F	F	T	F	F	F	F	F	F	F	F		2	1	5	5	2			3	2		5	3	2	4			4			22	1	2	3	4		4		4	4	4	4	1	5	1	F	F	F	F	F	T	F	F	F	F	F		10	7	2	T	F	21	21	23	1	2	1	3"
"543			""base""	""interview""	2016-05-30 22:31:40	2	2																												2	2	2	4			4			23	1	1	1	4		4		1	1	1	1	2	5	2	F	F	F	T	F	T	F	F	F	F	F		1	X-9	5	T	F	21	21	31	4	41	8	48"
